factor,pi,time
1,4,"2023-12-11 02:01:12"
8,3.017071817071818,"2023-12-11 02:02:12"
27,3.1786170109992202,"2023-12-11 02:03:12"
64,3.125968606973288,"2023-12-11 02:04:12"
125,3.1495925256000317,"2023-12-11 02:05:12"
216,3.1369630487667557,"2023-12-11 02:06:12"
343,3.1445080992896712,"2023-12-11 02:07:12"
512,3.139639530452431,"2023-12-11 02:08:12"
729,3.1429643950569854,"2023-12-11 02:09:12"
1000,3.140592653839794,"2023-12-11 02:10:12"
1331,3.14234396828467,"2023-12-11 02:11:12"
1728,3.141013949934539,"2023-12-11 02:12:12"
2197,3.142047819701858,"2023-12-11 02:13:12"
2744,3.1412282221150143,"2023-12-11 02:14:12"
3375,3.14188894987959,"2023-12-11 02:15:12"
4096,3.141348512968434,"2023-12-11 02:16:12"
4913,3.1417961952119438,"2023-12-11 02:17:12"
5832,3.141421185826989,"2023-12-11 02:18:12"
6859,3.141738447436511,"2023-12-11 02:19:12"
8000,3.141467653590268,"2023-12-11 02:20:12"
9261,3.141700633289284,"2023-12-11 02:21:12"
10648,3.141498739239878,"2023-12-11 02:22:12"
12167,3.141674843118693,"2023-12-11 02:23:12"
13824,3.141520315626915,"2023-12-11 02:24:12"
15625,3.141656653589722,"2023-12-11 02:25:12"
17576,3.1415357578228837,"2023-12-11 02:26:12"
19683,3.1416434588531876,"2023-12-11 02:27:12"
21952,3.141547099653953,"2023-12-11 02:28:12"
24389,3.1416336556808755,"2023-12-11 02:29:12"
27000,3.1415556165527665,"2023-12-11 02:30:12"
29791,3.1416262207744947,"2023-12-11 02:31:12"
32768,3.1415621360116797,"2023-12-11 02:32:12"
35937,3.1416204800638963,"2023-12-11 02:33:12"
39304,3.141567210886769,"2023-12-11 02:34:12"
42875,3.1416159772049452,"2023-12-11 02:35:12"
46656,3.1415712201192867,"2023-12-11 02:36:12"
50653,3.141612395757074,"2023-12-11 02:37:12"
54872,3.1415744293588412,"2023-12-11 02:38:12"
59319,3.141609511594793,"2023-12-11 02:39:12"
64000,3.141577028589768,"2023-12-11 02:40:12"
68921,3.141607162955563,"2023-12-11 02:41:12"
74088,3.1415791561272712,"2023-12-11 02:42:12"
79507,3.141605231098648,"2023-12-11 02:43:12"
85184,3.1415809142959636,"2023-12-11 02:44:12"
91125,3.1416036275266306,"2023-12-11 02:45:12"
97336,3.141582379898584,"2023-12-11 02:46:12"
103823,3.1416022853668917,"2023-12-11 02:47:12"
110592,3.1415836113443634,"2023-12-11 02:48:12"
117649,3.1416011534494763,"2023-12-11 02:49:12"
125000,3.141584653589728,"2023-12-11 02:50:12"
132651,3.1416001921684225,"2023-12-11 02:51:12"
140608,3.1415855416188876,"2023-12-11 02:52:12"
148877,3.141599370544006,"2023-12-11 02:53:12"
157464,3.1415863029318056,"2023-12-11 02:54:12"
166375,3.141598664108154,"2023-12-11 02:55:12"
175616,3.141586959347785,"2023-12-11 02:56:12"
185193,3.1415980533619163,"2023-12-11 02:57:12"
195112,3.1415875283283916,"2023-12-11 02:58:12"
205379,3.141597522636734,"2023-12-11 02:59:12"
1,4,"2023-12-11 03:00:12"
